3 Bedroom Unit- Newmarket - Main Floor of a Detached House,York < 5 minutes ago,< 5 minutes ago,"$2,400.00","Bright, clean and well-maintained main floor of a detached house with privacy and a large landscaped backyard fully fenced 60X124 Lot. Located in a very quiet, safe, high demand and established ..."
"A Small room for rent $ 475(finch/Victoria), near Seneca College",Toronto < 6 minutes ago,< 6 minutes ago,$475.00,"A small room near FInch/victoria park to rent. $475 inclusive, internet utility and laundry . No window, but heat and air condition available. very cozy room , friendly landlord. Share kitchen and ..."
Loft for Rent in Mimico,Toronto < 7 minutes ago,< 7 minutes ago,"$2,500.00",Loft At Mystic Pointe Skylofts. Bright And Open With A Very Functional Layout. Soaring 17 Ft Ceiling Windows. Perfect For Working Professionals/ Couple. True Entertainers Dream! Easy Access To ...
"Parking for Rent, 25 Lower Simcoe St or 19 Grand Trunk Cres",Toronto < 7 minutes ago,< 7 minutes ago,$220.00,"Underground parking spot in downtown Toronto, between Union Station and Rogers Center. Address is 25 Lower Simcoe St., or 19 Grand Trunk Cres, share same underground parking lots. Right beside ..."
New Legal 2 bedroom basment,Churchville < 7 minutes ago,< 7 minutes ago,"$1,999.00",BRAND NEW LEGAL BASEMENT 2 SPACIOUS BEDROOMS 1 PARKING NEW KICTHEN WITH APPLINACES LARGE LIVING AREA DINNING AREA WITH LARGE ISLAND LARGE WINDOWS $1999+ 30% UTILITIES
Beautifully Renovated 2 Bedroom Toronto,City of Toronto < 7 minutes ago,< 7 minutes ago,"$2,350.00","Here at 3 Ridge Hill Drive Toronto, we have a 2 bedroom available for 2350.00 per month including heat and water. Parking is available, $100 for indoor and $75 for outdoor. Professionally managed by ..."
LUXURY CONDOS WITH GREAT AMENITIES FOR RENT,City of Toronto < 7 minutes ago,< 7 minutes ago,"$2,000.00",***PLEASE READ THE AD FIRST*** *PLEASE DO NOT CONTACT IF YOU DON'T HAVE THE REQUIREMENTS. *THIS AD DOES NOT BELONG TO ANY PARTICULAR UNIT. LUXURY CONDOS WITH 5 STARS AMENITIES IN RICHMOND ...
2 Bedroom Basement rental in Malton/Mississauga,Malton < 8 minutes ago,< 8 minutes ago,"$1,750.00","2 Bedroom, spacious Basement apartment for Rent in May 1 2022 -Malton/Mississauga very convenient location -Close to hyway 427 and Westwood Mall, Humber College. Close to public transit, Woodbine ..."
Hwy 7/Leslie/Bayview first floor/private washroom/kitchen,Richmond Hill < 9 minutes ago,< 9 minutes ago,"$1,400.00",Hwy 7/Leslie/Bayview first floor/private washroom/kitchen L4B2R4 - Spacious one big walk out backyard bedroom in house -The first floor - Private washroom /kitchen - portable electric/induction stove ...
1 Bedroom in Basement,Toronto < 9 minutes ago,< 9 minutes ago,$450.00,"1 Bedroom in Basement available immediately at Scarborough. Markham Road and Lawrence Ave - Major intersection, TTC at door step, close to Centennial College and UFT"
Oakville Town house for lease,Oakville < 9 minutes ago,< 9 minutes ago,"$3,350.00","End Unit Beautiful & Cozy Town Home 3 Bedrooms In The Heart Of Bronte Creek, Bright Clean & Modern, Featuring Crown Molding, Wainscoting, Hardwood Floor In M/F, Stainless Steel Appliances, Large ..."
Markham Boxgrove - 2 Bedroom basement.,Markham < 10 minutes ago,< 10 minutes ago,"$1,650.00",Main Intersection: Copper creek / Donald Cousens: Markham Ontario 2-bedroom basement available for rent with separate entrance and separate washer and dryer. $1650 rent inclusive of all utilities ...
Basement Room for Rent!,Scarborough < 11 minutes ago,< 11 minutes ago,$750.00,"Females Only!!!!!! Spacious basement rooms for rent. Close to all amenities, 24 hour TTC bus service. 6 minutes bus ride to Victoria Park subway station... Hydro, internet, laundry, shared kitchen ..."
"3 bedroom house for rent Brampton , Queen and chinguacousy road",Brampton < 12 minutes ago,< 12 minutes ago,Please Contact,"A 3 bedroom house for rent . Brampton , Queen and chinguacousy road. Only for girls . 3 specious bedroom and two full washrooms. Kitchen , dinning and living area also included. Please call us these ..."
Downtown Large 4 bedrooms Apartment near all amenities,Toronto < 12 minutes ago,< 12 minutes ago,"$3,200.00",Charming large 4 bedrooms apartment with formal living room (can be used 5 bedrooms ) and 2 full bathrooms on 2nd Floor at Queen West of Downtown Toronto . It is the best choice for large family or ...
Free month on a two year lease,Whitby < 12 minutes ago,< 12 minutes ago,$885.00,Office space for lease in Ajax in a professional environment. Very quiet and close to all amenities. On the second floor of a plaza. 450 sq ft $885.00 per month + HST. Will only respond to phone ...
"Renting Hall/living - in 2 bed - SENECA , Lambton college",Toronto < 13 minutes ago,< 13 minutes ago,$400.00,Looking for a student/ working professional Indian female to rent a room in 2 Bedroom apartment. You will be sharing this apartment with 2 other people. (3 in total) Available from 1st May 2022 ...
"2 Bed. 2 Wash. Southeast Corner Unit Condo, 15 Lower Jarvis",Toronto < 14 minutes ago,< 14 minutes ago,"$2,850.00",Waterfront 1-year new Lighthouse condo. Two bedrooms and two washrooms with an underground parking spot and a locker. The southeast corner unit with the master bedroom and the living room facing ...
STUDENT ROOM RENTAL EAST OF SQ ONE,Mississauga < 15 minutes ago,< 15 minutes ago,$875.00,WRITE THIS PHONE NUMBER DOWN NOW. YOU WILL NEED IT LATER. 905-275-4744 PRIVATE ENTRANCE - Perfect for STUDENT on CO-OP PLACEMENTS - CLOSE TO MANY PLACEMENT LOCATIONS. 4 to 8 months. Safe ...
3 Bedroom Basement Apartment For Rent - Clarington,Newcastle < 15 minutes ago,< 15 minutes ago,"$2,300.00","Location: Newcastle, Clarington AVAILABLE TO MOVE IN MAY 19TH 2022 $2,300/month + 50% Utilities (Hydro, Gas and Water) - Brand new - Separate entrance - Laundry in unit - Internet included - 2 ..."
"Furnished 1bed+Den, 1Bath Condo in Downtown Toronto",Etobicoke < 17 minutes ago,< 17 minutes ago,"$2,500.00","Beautiful Furnished 1Bed Plus Den Suite In A Gorgeous Brand New Luxury Condo With Two Fastastic Oversized Balconies, One Facing The Lake And Other With A City View. Beautiful Modern Open Concept ..."
Room for Rent,Toronto < 18 minutes ago,< 18 minutes ago,$800.00,"Beautifully renovated and sparkling clean furnished basement room available in a 2 bedroom basement apartment with seperate entrance, laundry and kitchen. Quite and safe neighbourhood and 3 mins walk ..."
Beautiful Master Bedroom at Heart of Brampton,Brampton < 18 minutes ago,< 18 minutes ago,"$1,150.00","- Single occupant only. Non-smoking, no pets. - To book a viewing or more information, text or call 647-289-8500 - Huge, bright and furnished master bedroom available for rent - perfect for a working ..."
2 BEDROOM BASEMENT UNIT Parking available $1500 YONGE AND DREWRY,North York < 19 minutes ago,< 19 minutes ago,"$1,500.00",Basement Unit for rent Near Yonge and Drewry CAINES AVENUE 2 minute walk to bus stop 10 minutes to TTC / YRT VIVA Finch Station *Separate entrance* PRIVATE USE OF Kitchen / Bathroom / 2 rooms Parking ...
Newly Renovated 2 Bedroom,Toronto < 19 minutes ago,< 19 minutes ago,"$2,350.00","Incredibly Clean and Cozy Penthouse Unit (13th Floor), 9 Feet Ceiling, Large Windows, Unblocked View, Balcony, Laminate Flooring, Walk-In Closet, Plenty of Storage Space. Excellent Location, Close to ..."
condo for lease vaughan 1 plus 1,Vaughan < 20 minutes ago,< 20 minutes ago,"$2,100.00","Bright And Spacious 1 Bedroom plus den In The High Demand Indigo Condos Located Just Steps From The Maple Go Station. Laminate Flooring Throughout Minutes To Highway 400 & 407, Walk To Walmart, ..."
2 BEDROOOM + Den Townhouse for rent in Scarborough,Toronto < 20 minutes ago,< 20 minutes ago,"$2,155.00",1357 Neilson Rd Unit 86 - New 2 Bedroom + Den townhouse in a very quiet neighborhood in Neilson & McLevin Scarborough. Available immediately. Rent is $2155 and includes water. Other utilities (hydro ...
2 Bed 1 Bath Basement Available for Rent in Bradford (Renovated),Bradford West Gwillimbury < 20 minutes ago,< 20 minutes ago,"$1,700.00",Main floor will be separately tenanted w/ separate entrance & separate laundry. Newly renovated bright and spacious 2 bedroom basement apartment for lease. Located in the high-demand area of ...
Spacious Bright Room at Heart of Brampton,Brampton < 21 minutes ago,< 21 minutes ago,$750.00,"- Single female occupant. Non-sharing. Non-smoking, no pets. - To book a viewing or more information, text or call 647-289-8500 - All inclusive price: high speed internet and all utilities included - ..."
Master bedroom available in sharing,Mississauga < 24 minutes ago,< 24 minutes ago,$550.00,"Looking for a roommate to share the room from May .It’s a two bedroom apartment Rent $450 includes utilities. (Month to month basis) Location: Downtown Toronto, 280 Wellesley Street East."
Room For Rent Near Utsc/centennial,Toronto < 24 minutes ago,< 24 minutes ago,$700.00,"Large Bedroom for rent recenty renovated , washroom shared by 2 . Wifi and laundry included. Fully furnished all brandnew stuff. Other rooms are all females only . So we prefer female. Call for more ..."
"Room , king road and young",Richmond Hill < 26 minutes ago,< 26 minutes ago,$800.00,"One large room on second floor with private bath , use of kitchen , internet , yard . Close to bus station . Must be female . $800"
Room with parking for one male,Brampton < 26 minutes ago,< 26 minutes ago,$795.00,Private room with parking in legal basement apartment (separate entrance). Available from May 1-contact Ram Krishna One male professional only(NO visitor allowed ).Shared kitchen. Laundry in the ...
2 BEDROOM BASEMENT UNIT Parking available $1500 YONGE AND DREWRY,North York < 27 minutes ago,< 27 minutes ago,"$1,500.00",Basement Unit for rent Near Yonge and Drewry CAINES AVENUE 2 minute walk to bus station 10 minute bus ride to TTC / YRT VIVA FINCH STATION *Separate Entrance* PRIVATE USE OF Kitchen / Washroom / 2 ...
50 POWER ST HOME CONDOS 1 BED 1 BATH BRAND NEW FOR RENT,North York < 28 minutes ago,< 28 minutes ago,"$1,900.00",AVAILABLE MAY 1 SUPER TALL 11 FOOT CEILINGS - Only on this floor (5th Floor) in this building This Brand New Luxurious Suite Is East Facing | 1 Br + Full Bath | Find Yourself At Home In This Modern ...
Room for one male,Brampton < 28 minutes ago,< 28 minutes ago,$745.00,Private room in legal basement apartment (separate entrance). Available from May 1-contact Ram Krishna One male professional only(NO visitor allowed ).Shared kitchen. Laundry in the apartment.All ...
Title,Location,Date,Price,description
Renovated Jr. 1 @ Yonge and Davisville,City of Toronto 30/03/2022,30/03/2022,"$1,795.00","To schedule a viewing, please call or text our Leasing Manager at 647-507-4461 BALLIOL TOWERS 155 Balliol Street, Toronto, ON M4S 1C4 SUITE FEATURES: 504 sq.ft. Renovated kitchen with stainless steel ..."
New Office Space in Mississauga,Mississauga / Peel Region 30/03/2022,30/03/2022,$900.00,"Looking for the perfect place to grow your business? Tired of unwanted distractions constantly getting in the way of your work? Need a command center where you can EXCLUSIVELY focus on your work? ...
Virtual Offices | Meeting Rooms | Furnished Offices | Private | office | coworking | workspcae | office space | Mississauga | GTA | Meeting room | month to month | Board Room for rent | Business Address | Phone Answering | Office Lease |"
BUY HOUSE WITH ZERO DOWN OR RENT TO OWN PROGRAM,Oshawa / Durham Region 19/03/2022,19/03/2022,Please Contact,****Buy Any house with Zero Down or Rent-To-Own Program or 5% or 10% down payment based on your qualifications For Buyers -Buy House with Zero Down Payment Program -RENT-TO-OWN Program* -Buy House ...
Newly renovated units close to school and Mall,Toronto < 2 hours ago,< 2 hours ago,"$1,650.00","Newly one and two bedroom units in a great location. Close to Jane - Finch Mall, shopping area, school, daycare and HWY 400"
Bathurst/Eglinton - Renovated 2 Bedroom Unit For Lease!,City of Toronto 01/04/2022,01/04/2022,"$2,195.00","Upper Floor Of Duplex, 2 Bedrooms, Updated Kitchen and Bathroom, New Broadloom, Freshly Painted, New Stainless Steel Appliances, Pot Lights, Garage Included. Available April 1, Asking $2,195 Listed ..."
Room for one male,Brampton < 28 minutes ago,< 28 minutes ago,$745.00,Private room in legal basement apartment (separate entrance). Available from May 1-contact Ram Krishna One male professional only(NO visitor allowed ).Shared kitchen. Laundry in the apartment.All ...
East York WOODBINE subway Spacious One Bedroom & Living Room,Toronto < 29 minutes ago,< 29 minutes ago,"$1,450.00",East York WOODBINE subway Spacious One Bedroom & Living Room LOWER LEVEL newly renovated *One bedroom & living room *Separate entrance *Direct access to backyard *Includes in-house laundry *Includes ...
Room4Rent available since May1st for Male Student? Young profess,Toronto < 29 minutes ago,< 29 minutes ago,$530.00,"LOCATION!!!!!!!!!! LOCATION!!!!!!!!!! Nice, warm Room at the basement. Cozy, clean, with additional closet space. Entrance to the basement is separated. AVAILABLE since May1st, price 530 per month. ..."
PRIVATE BEDROOM W/ PRIVATE BATH - SHARED KITCHEN - FOR RENT,Mississauga < 29 minutes ago,< 29 minutes ago,"$1,100.00",One Large Bedroom with: - separate entrance - full PRIVATE bathroom - shared kitchen (only shared with one other male tenant) - parking space available - laundry included - high-speed wireless ...
"Room@Dundas&Yonge, subway, Ryerson, GBC, UofT, OCADU, EatonCtre",Toronto < 29 minutes ago,< 29 minutes ago,"$1,150.00","Beautiful, private, top floor bedroom in townhouse near Dundas & Yonge, subway, Ryerson U., George Brown College, UofT, OCADU, financial district, entertainment district, fashion district, incredible ..."
Room for Rent in Brampton,Brampton < 30 minutes ago,< 30 minutes ago,Please Contact,I have a room available to rent out beginning April 2022 in Brampton by Steeles and Financial Area. Please give me a call at 647-922-5329 for more information.
Cozy 1 Basement Suite For Rent In Mississauga,Mississauga < 31 minutes ago,< 31 minutes ago,"$1,050.00","Beautiful 1 Bedroom Basement Suite With Separate Entrance In Mississauga (Winston Churchill & Burnhamthorpe ) . Quiet & Desirable Neighbourhood. Close To Hwy 403, 407, Erin Mills Tc, Credit Valley ..."
Room in Basement,Toronto < 31 minutes ago,< 31 minutes ago,$800.00,"Needs two student Punjabi girls or one girl. I have two bedrooms basement,one is occupied with married couple(no kids)other room available from May 1st.clean and new basement. For two girls $800 For ..."
NEWLY RENOVATED ROOM W/ PRIVATE BATHROOM FOR RENT IN MISSISSAUGA,Mississauga < 32 minutes ago,< 32 minutes ago,"$1,100.00",One Large Bedroom with: - separate entrance - full PRIVATE bathroom - shared kitchen (only shared with one other male tenant) - parking space available - laundry included - high-speed wireless ...
Conveniently located at WOODBINE/DANFORTH 2 Large Separate Rooms,Toronto < 32 minutes ago,< 32 minutes ago,"$1,775.00",Conveniently located at WOODBINE/DANFORTH 2 Large Separate Rooms SECOND FLOOR *Two large separate rooms *Separate entrance *Includes in-house laundry *Includes all utilities *Includes internet ...
Campousone 4 month Rent MAY-AUGUST,Toronto < 33 minutes ago,< 33 minutes ago,"$1,000.00","Campousone -- (Summer vacation from May to August) Address: 253 College Street. The University of Toronto is only a three-minute walk away. Located in the city center. There are 2 bedrooms, one ..."
3 bedroom walkout basement with ravine at ground floor,Toronto < 33 minutes ago,< 33 minutes ago,"$2,400.00",Looking for a family to rent 3 bedroom walkout basement with ravine at ground floor - Newly renovated detached house with seperate entry - Bright and large Eat-in Kitchen - Large beautiful backyard ...
1 BEDROOM SUMMER SUBLET,Oakville < 33 minutes ago,< 33 minutes ago,$650.00,"Available from May 1-August 31 All male Dal students, one or two rooms may be empty Very large kitchen, living room, and deck Washing machine in unit Can provide more photos of the house, just ask ..."
1 Basement room for rent! - $600,Toronto < 34 minutes ago,< 34 minutes ago,$600.00,"1 Bedroom basement for rent , shared kitchen and bathroom. $600 per month. Available May 01, 2022. Close to ttc (42, 39, 129, 130) , 5 minutes away from Woodside Square mall, 15 minutes away from ..."
Rooms available immediately- Best location- Girls luxury house,Brampton < 35 minutes ago,< 35 minutes ago,$425.00,Brampton - Sharing and Private Upstairs furnished Bedroom’s available immediately for Rent in a big and beautiful house. Bovaird & Airport Rd area. House is front of the Fortinos plaza. Prime ...
ROOM FOR RENT BRAMPTON,Brampton < 36 minutes ago,< 36 minutes ago,$399.00,No car parking. Room in basement from May 01 Major intersections maclughlin and Charlois For Boys only Rent $399 each in sharing (for two person) or $750 for one person First and last month and $200 ...
Downtown Toronto Condo for Rent,Toronto < 36 minutes ago,< 36 minutes ago,"$2,000.00","159 SW Condominium Date Available: May 1st, 2022 Brand New 1 Bedroom + 1 Den 1 Bathroom Rent: $2000 Utilities paid by tenant Features: ⁃Quartz countertops ⁃Laminate flooring ⁃In-suite washer and ..."
2 bedroom legal basement for rent from May1st,Brampton < 37 minutes ago,< 37 minutes ago,"$1,500.00","If the ad is up, it is available. Suitable for Single family or girls (max occupants 3) 2-bedroom legal basement available for rent near Gore Road and Castlemore starting May 01, 2022. It includes: - ..."
ROOM UPPER BASEMENT AT BATHURST AND STEELES NEAR PLAZA/ TTC,Toronto < 37 minutes ago,< 37 minutes ago,$600.00,AVAILABLE MAY 1 NO-ONE IS SMOKING IN THE HOUSE PRICE IS FOR 1 PERSON TEXT OR CALL AT 416-877-1609 COZY ROOM UPPER BASEMENT CLOSE TO PLAZA STEELES AND BATHURST/ CEDARCROFT . SHARING KITCHEN AND ...
"5 min walk Humber College Students-2nd flr furn room, April 30",Etobicoke < 38 minutes ago,< 38 minutes ago,$700.00,Single room for 1 person. 2 rooms for rent. 1- room for rent April 30 . 1- rooms for rent Sept 1. Furn 2nd floor. Large window. Furnished with double bed. Desk. chair. Dresser. Night stand. Closet. ...
Large Furnished 1 bedr. condo at King and Church,Toronto < 38 minutes ago,< 38 minutes ago,"$2,500.00",Available on April 17th. Fully furnished apartment + Unlimited internet and Hydro included (hydro cap $100 per month) There is a Queen bed in the master bedroom. 1 Bedroom unit on 8th floor at the ...
"Bright, Spacious, Basement Apartment- 1 BR, 1 BTH- St Clair West",Old Toronto < 39 minutes ago,< 39 minutes ago,"$1,700.00","Bright, spacious, 1 bedroom, 1 bathroom open concept, lower level apartment available (with separate ground floor, walk-out entrance) for rent in the St. Clair and Old Weston area available April ..."
Mount Pleasant Yonge and Eglinton 2 Bedroom Rental,Toronto < 39 minutes ago,< 39 minutes ago,"$2,675.00","2 Bedroom 1 Bathroom Rental Opportunity In Davisville Village. Open Concept. Eat In Kitchen With Quartz Waterfall Island Countertop, Marble Backsplash. Crown Moulding. Parking And Storage Locker ..."
SHARING BETWEEN MALES ONLY (2 BEDROOM LEGAL BASEMENT),Toronto < 39 minutes ago,< 39 minutes ago,$700.00,"**SHARING FOR ROOMMATES** (FAMILIES, STUDENTS, COUPLES) This newly renovated 2 bedroom basement is located at Highland Creek in a quiet neighborhood. It is perfect for sharing between students ..."
One bedroom in basement apartment close to Dufferin and Steeles,Vaughan < 40 minutes ago,< 40 minutes ago,$760.00,"One bedroom in all female basement apartment is available on May 1st, 2022. Near Dufferin and Steeles, cLose to York University Keele Campus. 7 mins walk to TTC 60 bus stop on Steeles Ave, TTC 60 ..."
1 Bedroom Basement Apartment,Toronto < 41 minutes ago,< 41 minutes ago,"$1,100.00","9 Years Old 1 Bedroom Basement Apartment 490 sqF For Rent From May 1st. Convenient Location. Walk Distans to TTC, GO Station, Schools, U Of T, Centennial College and all other amenities. Also 15 ..."
Private room for rent,Toronto < 41 minutes ago,< 41 minutes ago,Please Contact,"Good Size Bedroom FOR RENT Finch and islington North York - AVAILABLE Immediately either May 1 for single persons and preferably for TELUGU Speaking people. Shared kitchen Looking for professional, ..."
Large furnished TWO bed/2wash/Parking next to Sherbourne subway,Toronto < 42 minutes ago,< 42 minutes ago,"$3,000.00",Available now. 2 Bedroom/2 washroom apartment about 900 sq ft on 15th floor with a nice south view on downtown Toronto. Bloor/ Sherbourne - main intersection. The apartment features a perfect south ...
Room in Basement For Rent,Brampton < 44 minutes ago,< 44 minutes ago,$350.00,"BOYS ONLY CALL ONLY Room For Rent Rooms for Rent available, very close to Sheridan College, Sabzi Mandi as well as Brampton Library Availability for only sharing Main Intersection: Ray Lawson and ..."
Beautiful and spacious 3 bedrooms townhouse,Oshawa < 45 minutes ago,< 45 minutes ago,"$2,800.00","Stable job, good references and first and last month's rent required. Brand new 3 bedrooms unit with plenty of space, your own garage and a rooftop balcony to enjoy the summer in. Please don't just ..."
Stylish 1 Bedroom Loft for rent,Toronto < 48 minutes ago,< 48 minutes ago,Please Contact,ll inclusive and fully furnished 1 bedroom Loft style condo in heart of Queen West. This 620sq/ft unit has 10ft exposed ceilings and concrete walls. This bright and stylish suite has lots of natural ...
Spacious One Bedroom Basement Suite with Kitchen in North Ajax.,Oshawa / Durham Region < 49 minutes ago,< 49 minutes ago,"$1,200.00","Neat & Clean & spacious one-bedroom, kitchen and one bath in the basement level of a detached house is available for rent in a quiet neighborhood. The closest intersection is Rossland and Westney. ..."
One Bedroom Basement Apartment for rent,Brampton < 49 minutes ago,< 49 minutes ago,"$1,350.00","Location Amazing One Bedroom Basement Apartment In Most Desirable Court Location, One Of A Kind Gem Is Conveniently Situated Next To Green Park And School. House Is Kept Like New With Very Modern ..."
For rant,Mississauga / Peel Region < 50 minutes ago,< 50 minutes ago,Please Contact,2bd 1 kechan washroom
Downtown Cozy Private Rooms: Room A and B,Toronto < 51 minutes ago,< 51 minutes ago,$940.00,"Located at Ossington Av and Harbord St, west Downtown area, M6G 3T3. (*** This ad will be reposted everyday and deleted to maintain high visibility) - Move in 2 of 3 private rooms. Room A and B will ..."
Furnished bedroom for rent in downtown Toronto,Toronto < 51 minutes ago,< 51 minutes ago,"$1,300.00","UNIT: 1 bedroom and separate washroom for Rent - in 2+2 Condo Price: $1300 – Utilities & Internet included, furnished bedroom, furnished living room/common area. There’s not too much space for your ..."
May to August subletting,City of Toronto < 51 minutes ago,< 51 minutes ago,"$2,450.00","One bedroom one den, furnitured, 10mins walking to UofT, complete surrounding facilities, metro supermarket , subway station, shoppers drugmart, 711"
Room for Rent: Walk Out Basement Apartment Near UTM (Females),Mississauga / Peel Region < 51 minutes ago,< 51 minutes ago,$700.00,"Two rooms are available in a three-bedroom basement apartment (shared accommodations) for females only. Each room is the same price. Separate Entrance Fully Furnished Wi-Fi (Unlimited, High Speed) ..."
"Core Downtown, Fully Furnished Studio Condo w/Wi-Fi, Cable & TV",Toronto < 52 minutes ago,< 52 minutes ago,"$1,999.00","Doorsteps access to College Subway and TTC Street Car, Close to The Hospital for Sick Children, Mount Sinai Hospital, Queen Elizabeth Hospital, Women's College Hospital, Toronto General Hospital, ..."
Room rent Available ( female student only),Brampton < 52 minutes ago,< 52 minutes ago,$450.00,"~Not Pet-Friendly Home, Smoke-Free House~ !! IF THIS AD IS UP, IT MEANS IT IS STILL AVAILABLE !! A beautiful room in a basement is available in Brampton Near Mount Pleasant Go Station. 1 Bedroom and ..."
Title,Location,Date,Price,description
2 Bedroom Apartments for Rent in Mississauga,Mississauga / Peel Region Yesterday,Yesterday,"$2,084.00","Welcome to 1970 - 1980 Fowler Drive! Suite Amenities Newly renovated suites Large, open-concept layouts Dark re-finished hardwood flooring Remodeled open concept kitchen with new stone-like ceramic ...
Enjoy Condo Living Without the Fees"
Offices Suitable for Businesses and Clinics Starting at $700,Oakville / Halton Region 30/03/2022,30/03/2022,$750.00,"Spacious offices available for rent. Ideal for family physician or specialist practice. Located in Oakville-Dorval Drive and Wyecroft Road, close to Oakville Downtown and right by Queensway. The ...
Virtual Offices | Meeting Rooms | Furnished Offices | Private | office | coworking | workspcae | office space | Mississauga | GTA | Meeting room | month to month | Board Room for rent | Business Address | Office Lease |"
Trailers For Sale/Rent - Lowest Prices Guaranteed - 416-771-8833,Mississauga / Peel Region 21/03/2022,21/03/2022,Please Contact,"7347 Kimbel Street Mississauga, Ontario L4T 3M6 Tel: 416-771-8833 Express Mobile (EMSS) Storage Solutions provides storage trailers for commercial/residential/industrial use. We are located in ..."
Rent 1 Bedroom Basement unit -Etobicoke ( Scarlett/ Royal York),City of Toronto 02/04/2022,02/04/2022,"$1,600.00","Nice and clean 1 Bedroom and 1 washroom unit ( with separate entrance ) of a good condition house in Etobicoke ( Scarlett /Royal York ) near bus stop, plaza , park , school , No frills and Walmart ..."
1 + Den (en-suite) + 2 washrooms - Young and Bloor Luxury Condo,City of Toronto 21/03/2022,21/03/2022,"$2,600.00","4209 and 4009, 45 Charles Street. One bedroom plus Den (en suite washroom). 2 full washrooms. Comes with a storage included in the price. Den can be used as a second bedroom. Beautiful ceiling to ..."
Besmeat for rant 1ba,Mississauga / Peel Region < 53 minutes ago,< 53 minutes ago,Please Contact,1room kechan washroom for rant send tax maseg only
BRIGHT 2 BEDROOM BASEMENT FOR RENT in,Brampton < 53 minutes ago,< 53 minutes ago,"$1,750.00","Stunning, well ventilated, Bright, and Spacious 2-bedroom basement for rent. Perfect location: minutes away from highway. 5 minutes drive to Shoppers world and all the major amenities. Close to ..."
Basement for rent,Brampton < 54 minutes ago,< 54 minutes ago,"$1,900.00",Looking for a small quiet family. Brand new legal basement for rent starting May 1 2022 Very spacious 2 bedroom each with closet + den/office. Private den/office perfect for working from home. Full ...
2 Bedroom Basement Apartment for Rent,Brampton < 54 minutes ago,< 54 minutes ago,"$1,600.00",2 Bedroom Legal Basement Apartment separate entrance Big windows Newly built spacious and bright Public Transit 5 min walk Mount Pleasant GO station 5 min drive Quite neighborhood 2 parking spots ...
Shared master bedroom for rent - near bramalea city Centre mall,Brampton < 54 minutes ago,< 54 minutes ago,$400.00,****AVAILABLE FROM MAY 1st**** Shared master bedroom for rent. *Fully Furnished!* *Foam mattress provided!* *Walk-in closet!* *Shared washroom and kitchen!* *Males only!* *No parking!* *Minimum 3-4 ...
1Bedroom basement Apt Sep Ent near 401/TTC/Go/UTSC/Centennial,Toronto < 54 minutes ago,< 54 minutes ago,"$1,200.00","1 Bedroom Basement Apartment Secure Self contained own entrance $1200 for a a single student: $1400 for a professional couple, close to TTC and UTSC, Centennial College, 1 Parking spot available . ..."
